Clause,Cleaned_Clause,Cluster
"Counterparts.  This MSA may be executed in counterparts, each of which so executed will be deemed to be an original and such counterparts together will constitute one and the same MSA.  Signatures sent by emailed to either Party in a pdf format shall be deemed original signatures under this MSA.",counterpart msa may executed counterpart executed deemed original counterpart together constitute one msa signature sent emailed either party pdf format shall deemed original signature msa,2
"Public Announcements/Publicity: ABC and BSL agree to cooperate regarding public relations activities, including public announcements, joint press releases, and other activities to be mutually agreed. Neither Party will perform such activities without the prior written consent of the other Party.",public announcementspublicity abc bsl agree cooperate regarding public relation activity including public announcement joint press release activity mutually agreed neither party perform activity without prior written consent party,2
Compliance:  Each Party will comply with all Applicable Laws in the performance of obligations under this MSA. Each Party shall forthwith notify the other Party in relation to any of its non-compliance under this MSA.,compliance party comply applicable law performance obligation msa party shall forthwith notify party relation noncompliance msa,2
"Costs & Fees: Subject to any express provisions to the contrary in this MSA, each Party shall pay its own costs/ fees relating to the implementation and enforcement of this MSA.",cost fee subject express provision contrary msa party shall pay cost fee relating implementation enforcement msa,2
IN WITNESS WHEREOF Each Party has executed this MSA on the dates written below:,witness whereof party executed msa date written,0
Signed by:    _____________________________Name: Designation:  FOR AND ON BEHALF OFABCSigned by:  _______________________________           Name: Designation: FOR AND ON BEHALF OFBSL,signed _____________________________name designation behalf ofabcsigned _______________________________ name designation behalf ofbsl,2
Schedule A,schedule,1
(Template for a Purchase Order under the MSA for Contractual Services),template purchase order msa contractual service,0
Purchase Order,purchase order,1
"ABC India Private Limited, a company incorporated under the provisions of the Companies Act, 1956, having its registered office at [], hereinafter referred to as “ABC” (which expression shall unless repugnant to the context or contrary to the meaning thereof mean and include its successors and permitted assigns) of the FIRST PART.",abc india private limited company incorporated provision company act registered office hereinafter referred abc expression shall unless repugnant context contrary meaning thereof mean include successor permitted assigns first part,2
"XYZ Limited, a company incorporated under the provisions of the Companies Act, [], having its registered office at [], hereinafter referred to as “BSL” (which expression shall unless repugnant to the context or contrary to the meaning thereof mean and include its successors and permitted assigns) of the SECOND PART.",xyz limited company incorporated provision company act registered office hereinafter referred bsl expression shall unless repugnant context contrary meaning thereof mean include successor permitted assigns second part,2
“ABC” and “BSL” hereto shall hereinafter be collectively referred to as the “Parties” and individually as a “Party”.,abc bsl hereto shall hereinafter collectively referred party individually party,2
WHEREAS,whereas,1
"ABC is a wholly owned subsidiary of MQZ Private Limited which is, one of the leading international companies in Information and Communications Technology (ICT).",abc wholly owned subsidiary mqz private limited one leading international company information communication technology ict,2
BSL is engaged in the business of IT resource and staffing company which has 18+ years of rich experience with extensive and successful large global program delivery experience.,bsl engaged business resource staffing company year rich experience extensive successful large global program delivery experience,2
"ABC and BSL concluded a Master Services Agreement (hereinafter referred to as ""MSA "") on [].",abc bsl concluded master service agreement hereinafter referred msa,2
"Based on the representations of the BSL, ABC is keen to engage BSL in respect of infor clousuite services and BSL has agreed to accept an engagement of ABC on the terms and conditions hereinafter contained.",based representation bsl abc keen engage bsl respect infor clousuite service bsl agreed accept engagement abc term condition hereinafter contained,2
"Now, therefore, the Parties agree as follows:",therefore party agree follows,0
Scope,scope,1
Deadlines and dates,deadline date,1
The due dates to be met by the BSL and the individual project phases are set out:,due date met bsl individual project phase set,0
in the following milestone plan,following milestone plan,0
Serialno.Description of milestoneWork results dueDue date for the provision of the milestoneOverall acceptance of the Contractual Services,serialnodescription milestonework result duedue date provision milestoneoverall acceptance contractual service,0
Personnel,personnel,1
The coordination of the provision of the Contractual Services and the associated communication shall be organized exclusively via the appointed Personnel.,coordination provision contractual service associated communication shall organized exclusively via appointed personnel,2
ABC Personnel:,abc personnel,1
Name:,name,1
E-mail address:,email address,1
BSL Personnel:,bsl personnel,1
Name:,name,1
E-mail address:,email address,1
Charges and Invoicing,charge invoicing,0
Charges,charge,1
Invoicing,invoicing,1
The BSL shall invoice the remuneration as follows:,bsl shall invoice remuneration follows,2
monthly in arrears.,monthly arrears,0
after overall acceptance.,overall acceptance,1
following the acceptance of the milestones listed below:,following acceptance milestone listed,0
Serialno.Milestone due dateWork resultsPaymentsOverall acceptance,serialnomilestone due datework resultspaymentsoverall acceptance,0
Data protection,data protection,1
"The Contractual Services to be performed by the BSL include the collection, processing and use of, or access to, Personal Data by the BSL and thus, may require the conclusion of a data processing agreement.",contractual service performed bsl include collection processing use access personal data bsl thus may require conclusion data processing agreement,2
Term,term,1
Start date,start date,1
This Purchase Order sets forth an agreement between the Parties and commenced on [],purchase order set forth agreement party commenced,0
This Purchase Order,purchase order,1
Termination,termination,1
ABC shall be entitled to forthwith terminate this Purchase Order upon occurrence of one or more following events:,abc shall entitled forthwith terminate purchase order upon occurrence one following event,2
"If any insolvency or bankruptcy proceedings are initiated by and/or against the BSL, if a receiver is appointed over any of the BSL’s assets, and/or if BSL unable to pay its debts (if any) as and when they fall due, and/or",insolvency bankruptcy proceeding initiated andor bsl receiver appointed bsls asset andor bsl unable pay debt fall due andor,2
upon the occurrence of a change of control of BSL;,upon occurrence change control bsl,0
"In the event, any of the representations and warranties made by BSL is incorrect, false, fraudulent, negligent, incomplete or misleading or in any manner whatsoever;",event representation warranty made bsl incorrect false fraudulent negligent incomplete misleading manner whatsoever,2
if SEG Contract is terminated in accordance with the terms thereof.,seg contract terminated accordance term thereof,0
Final provisions,final provision,1
Inclusion of MSA,inclusion msa,1
The provisions of MSA form an integral part of this Purchase Order.,provision msa form integral part purchase order,0
IN WITNESS WHEREOF Each Party has executed this MSA on the dates written below:,witness whereof party executed msa date written,0
Signed by: _____________________________Name: Designation:  FOR AND ON BEHALF OFABC Signed by:  _______________________________           Name: Designation: FOR AND ON BEHALF OFBSL,signed _____________________________name designation behalf ofabc signed _______________________________ name designation behalf ofbsl,2
[Insert details],insert detail,1
[Insert details],insert detail,1
[Insert details],insert detail,1
[Insert details],insert detail,1
